Date,Fedinterest,Fed%change
2008-06-12,8.00,0
2008-06-25,8.50,6.25
2008-07-30,9.00,5.88
2008-10-20,8.00,-11.11
2008-11-03,7.50,-6.25
2008-12-08,6.50,-13.33
2009-01-05,5.50,-15.38
2009-03-05,5.00,-9.09
2009-04-21,4.75,-5.00
2010-03-19,5.00,5.26
2010-04-20,5.25,5.00
2010-07-02,5.50,4.76
2010-07-27,5.75,4.55
2010-09-16,6.00,4.35
2010-11-02,6.25,4.17
2011-01-25,6.50,4.00
2011-03-17,6.75,3.85
2011-05-03,7.25,7.41
2011-06-16,7.50,3.45
2011-07-26,7.75,3.33
2011-09-16,8.00,3.23
2011-10-25,8.50,6.25
2012-04-17,8.00,-5.88
2013-01-29,7.75,-3.13
2013-03-19,7.50,-3.23
2013-05-03,7.25,-3.33
2013-09-20,7.50,3.45
2013-10-29,7.75,3.33
2014-01-28,8.00,3.23
2015-01-15,7.75,-3.13
2015-03-04,7.50,-3.23
2015-06-02,7.25,-3.33
2015-09-29,6.75,-6.90
2016-04-05,6.50,-3.70
2016-10-04,6.25,-3.85
2017-08-02,6.00,-4.00
2018-02-07,6.00,0.00
2018-06-06,6.25,4.17
2018-08-01,6.50,4.00
2019-02-07,6.25,-3.85
2019-04-04,6.00,-4.00
2019-06-06,5.75,-4.17
2019-08-07,5.40,-6.09
2019-10-04,5.15,-4.63
2019-12-05,5.15,0.00
2020-02-06,5.15,0.00
2020-03-27,4.40,-14.56
2020-05-22,4.00,-9.09
2021-06-04,4.00,0.00
2021-08-06,4.00,0.00
2021-10-09,4.00,0.00
2021-12-08,4.00,0.00
2022-02-10,4.00,0.00
2022-04-08,4.00,0.00
2022-05-04,4.40,10.00
2022-06-08,4.90,11.36
2022-08-05,5.40,10.20
2022-09-30,5.90,9.26
2022-12-07,6.25,5.93
2023-02-08,6.50,4.00
2023-04-06,6.50,0.00
2023-06-08,6.50,0.00
2023-08-10,6.50,0.00
2023-10-06,6.50,0.00
2023-12-08,6.50,0.00
2024-02-08,6.50,0.00
2024-04-05,6.50,0.00
2024-06-07,6.50,0.00
2024-08-08,6.50,0.00
